timestamp,session_id,condition,event,data
2026-04-14T16:44:05.631652,e1ae0538,A,session_start,"{""user_idx"": 7632}"
2026-04-14T16:44:23.131154,e1ae0538,A,article_click,"{""article_id"": ""N34441"", ""rank"": 1}"
2026-04-14T16:44:29.000306,e1ae0538,A,article_click,"{""article_id"": ""N40874"", ""rank"": 2}"
2026-04-14T16:44:30.875957,e1ae0538,A,article_click,"{""article_id"": ""N4755"", ""rank"": 4}"
2026-04-14T16:44:38.221386,e1ae0538,A,article_click,"{""article_id"": ""N2985"", ""rank"": 9}"
2026-04-14T16:44:39.263931,e1ae0538,A,article_click,"{""article_id"": ""N2985"", ""rank"": 9}"
2026-04-14T16:44:39.436725,e1ae0538,A,article_click,"{""article_id"": ""N2985"", ""rank"": 9}"
2026-04-14T16:44:52.247999,e1ae0538,A,article_click,"{""article_id"": ""N40874"", ""rank"": 2}"
2026-04-14T16:46:20.865231,e5b0ff45,D,session_start,"{""user_idx"": 5204}"
2026-04-14T16:46:34.514996,e5b0ff45,D,history_remove,"{""article_id"": ""N55189""}"
2026-04-14T16:47:06.425828,e5b0ff45,D,history_remove,"{""article_id"": ""N27101""}"
2026-04-14T16:47:09.650856,e5b0ff45,D,history_restore_all,{}
2026-04-14T16:47:09.833344,e5b0ff45,D,recommendations_fetched,"{""user_idx"": 5204, ""removed_count"": 0}"
2026-04-14T16:47:17.915567,e5b0ff45,D,history_remove,"{""article_id"": ""N30925""}"
2026-04-14T16:47:19.811411,e5b0ff45,D,history_remove,"{""article_id"": ""N35022""}"
2026-04-14T16:47:20.906584,e5b0ff45,D,history_remove,"{""article_id"": ""N11415""}"
2026-04-14T16:47:23.102916,e5b0ff45,D,history_remove,"{""article_id"": ""N19494""}"
2026-04-14T16:47:26.493675,e5b0ff45,D,recommendations_fetched,"{""user_idx"": 5204, ""removed_count"": 4}"
2026-04-14T16:47:39.690534,e5b0ff45,D,article_click,"{""article_id"": ""N24578"", ""rank"": 1}"
2026-04-14T16:47:40.394538,e5b0ff45,D,article_click,"{""article_id"": ""N24578"", ""rank"": 1}"
2026-04-14T16:48:02.499526,e5b0ff45,D,history_remove,"{""article_id"": ""N55189""}"
2026-04-14T16:48:05.786387,e5b0ff45,D,recommendations_fetched,"{""user_idx"": 5204, ""removed_count"": 5}"
